Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 5 [24320/49000 (50%)]	Train Loss: 0.000243	Val Loss: 0.000556	Val Acc: 100
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 0.000329	Val Loss: 0.000452	Val Acc: 100
Train Epoch: 5 [26880/49000 (55%)]	Train Loss: 0.000252	Val Loss: 0.000383	Val Acc: 100
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 0.000401	Val Loss: 0.000609	Val Acc: 100
Train Epoch: 5 [29440/49000 (60%)]	Train Loss: 0.000151	Val Loss: 0.000545	Val Acc: 100
Train Epoch: 5 [30720/49000 (63%)]	Train Loss: 0.000443	Val Loss: 0.000237	Val Acc: 100
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 0.000279	Val Loss: 0.000233	Val Acc: 100
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 0.000149	Val Loss: 0.000333	Val Acc: 100
Train Epoch: 5 [34560/49000 (70%)]	Train Loss: 0.000278	Val Loss: 0.000518	Val Acc: 100
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 0.000243	Val Loss: 0.000653	Val Acc: 100
Train Epoch: 5 [37120/49000 (76%)]	Train Loss: 0.000190	Val Loss: 0.000347	Val Acc: 100
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 0.000125	Val Loss: 0.000468	Val Acc: 100
Train Epoch: 5 [39680/49000 (81%)]	Train Loss: 0.000195	Val Loss: 0.000469	Val Acc: 100
Train Epoch: 5 [40960/49000 (84%)]	Train Loss: 0.000163	Val Loss: 0.000623	Val Acc: 100
Train Epoch: 5 [42240/49000 (86%)]	Train Loss: 0.000130	Val Loss: 0.000670	Val Acc: 100
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 0.000124	Val Loss: 0.000356	Val Acc: 100
Train Epoch: 5 [44800/49000 (91%)]	Train Loss: 0.000240	Val Loss: 0.000501	Val Acc: 100
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 0.000098	Val Loss: 0.000447	Val Acc: 100
Train Epoch: 5 [47360/49000 (97%)]	Train Loss: 0.000160	Val Loss: 0.000543	Val Acc: 100
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 0.000285	Val Loss: 0.000472	Val Acc: 100

test set: Average loss: 0.2220, Accuracy: 9517/10000 (95%)

